memory,gold_id,gold_name,answerable,novel,abstained,pred_id,answer,novelty_flag,confidence,grounding_score
dense,OMIM:535000,Leber optic atrophy,True,False,True,,ABSTAIN,True,0.7969626784324646,0.7969626784324646
dense,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,True,False,False,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,False,0.8488141894340515,0.8488141894340515
dense,OMIM:618394,Immunodeficiency 60,True,False,True,,ABSTAIN,True,0.8097097873687744,0.8097097873687744
dense,ORPHA:100083,Laryngeal neuroendocrine tumor,True,False,True,,ABSTAIN,True,0.8049758672714233,0.8049758672714233
dense,OMIM:606519,PHACE association,True,False,True,,ABSTAIN,True,0.811607301235199,0.811607301235199
dense,OMIM:618010,Glycosylphosphatidylinositol biosynthesis defect 17,True,False,True,,ABSTAIN,True,0.8176434636116028,0.8176434636116028
dense,OMIM:240900,Hypoinsulinemic hypoglycemia with hemihypertrophy,True,False,True,,ABSTAIN,True,0.8184872269630432,0.8184872269630432
dense,OMIM:615911,Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,True,False,True,,ABSTAIN,True,0.8189031481742859,0.8189031481742859
dense,ORPHA:510,Lesch-Nyhan syndrome,True,False,True,,ABSTAIN,False,0.8224032521247864,0.8224032521247864
dense,OMIM:236270,"Homocystinuria-megaloblastic anemia, cbl E type",True,False,True,,ABSTAIN,False,0.8324254751205444,0.8324254751205444
dense,ORPHA:3266,Isolated humero-radio-ulnar synostosis,True,False,True,,ABSTAIN,False,0.8606561422348022,0.8606561422348022
dense,ORPHA:11,Pentasomy X syndrome,True,False,True,,ABSTAIN,True,0.8085690140724182,0.8085690140724182
dense,ORPHA:79292,Fish-eye disease,True,False,True,,ABSTAIN,True,0.8151764869689941,0.8151764869689941
dense,ORPHA:70578,Adult acute respiratory distress syndrome,True,False,False,ORPHA:70578,Adult acute respiratory distress syndrome,False,0.824115514755249,0.824115514755249
dense,OMIM:246000,"Leg, absence deformity of, with congenital cataract",True,False,True,,ABSTAIN,False,0.8323120474815369,0.8323120474815369
dense,OMIM:614077,Hermansky-Pudlak syndrome 8,True,False,True,,ABSTAIN,True,0.8143020868301392,0.8143020868301392
dense,ORPHA:100082,Neuroendocrine tumor of anal canal,True,False,True,,ABSTAIN,True,0.816259503364563,0.816259503364563
dense,OMIM:620461,"Encephalopathy, acute, infection-induced, susceptibility to, 12",True,False,True,,ABSTAIN,False,0.824036180973053,0.824036180973053
dense,OMIM:620012,"Developmental delay, hypotonia, and impaired language",True,False,True,,ABSTAIN,False,0.8277789354324341,0.8277789354324341
dense,ORPHA:1875,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,True,False,True,,ABSTAIN,True,0.8200973272323608,0.8200973272323608
dense,OMIM:233600,Immunodeficiency 59 and hypoglycemia,True,False,True,,ABSTAIN,True,0.8030059337615967,0.8030059337615967
dense,OMIM:618302,"Intellectual developmental disorder, autosomal recessive 68",True,False,True,,ABSTAIN,False,0.8403026461601257,0.8403026461601257
dense,OMIM:308700,Hypogonadotropic hypogonadism 1 with or without anosmia,True,False,False,OMIM:614880,Hypogonadotropic hypogonadism 15 with or without anosmia,False,0.8410322070121765,0.8410322070121765
dense,ORPHA:2774,Multicentric carpo-tarsal osteolysis with or without nephropathy,True,False,True,,ABSTAIN,True,0.7960804104804993,0.7960804104804993
dense,OMIM:277100,VALINEMIA,True,False,False,OMIM:277100,VALINEMIA,False,0.8366010785102844,0.8366010785102844
dense,ORPHA:309288,"Alpha-mannosidosis, adult form",True,False,True,,ABSTAIN,True,0.8026108145713806,0.8026108145713806
dense,OMIM:231550,Achalasia-Addisonianism-Alacrima syndrome,True,False,True,,ABSTAIN,False,0.84356290102005,0.84356290102005
dense,OMIM:620197,"Ciliary dyskinesia, primary, 49, without situs inversus",True,False,False,OMIM:620197,"Ciliary dyskinesia, primary, 49, without situs inversus",False,0.851739227771759,0.851739227771759
dense,OMIM:601650,Paragangliomas 2,True,False,False,OMIM:601650,Paragangliomas 2,False,0.8563739657402039,0.8563739657402039
dense,OMIM:192500,Long QT syndrome 1,True,False,True,,ABSTAIN,True,0.8057498931884766,0.8057498931884766
dense,ORPHA:401768,Proximal myopathy with extrapyramidal signs,True,False,True,,ABSTAIN,False,0.8259043097496033,0.8259043097496033
dense,ORPHA:2004,Laryngotracheoesophageal cleft,True,False,False,ORPHA:2004,Laryngotracheoesophageal cleft,False,0.8339874744415283,0.8339874744415283
dense,OMIM:616540,"Epilepsy, progressive myoclonic, 9",True,False,False,OMIM:159950,Spinal muscular atrophy with progressive myoclonic epilepsy,False,0.8367202281951904,0.8367202281951904
dense,OMIM:616740,Immunodeficiency 46,True,False,True,,ABSTAIN,False,0.8338261246681213,0.8338261246681213
dense,OMIM:614935,"Ciliary dyskinesia, primary, 19",True,False,False,OMIM:606763,"Ciliary dyskinesia, primary, 2",False,0.845733106136322,0.845733106136322
dense,OMIM:612933,Glycogen storage disease XI,True,False,True,,ABSTAIN,False,0.830763578414917,0.830763578414917
dense,OMIM:619955,Dworschak-Punetha neurodevelopmental syndrome,True,False,True,,ABSTAIN,False,0.8239187002182007,0.8239187002182007
dense,ORPHA:2073,Narcolepsy type 1,True,False,True,,ABSTAIN,True,0.7996317744255066,0.7996317744255066
dense,OMIM:226650,"Epidermolysis bullosa, junctional, Non-Herlitz type",True,False,False,ORPHA:1028,Amelo-onycho-hypohidrotic syndrome,False,0.8539378643035889,0.8539378643035889
dense,OMIM:615960,Poretti-Boltshauser syndrome,True,False,True,,ABSTAIN,True,0.8054519891738892,0.8054519891738892
dense,OMIM:254300,"Myasthenia, limb-girdle, familial",True,False,True,,ABSTAIN,False,0.8254963755607605,0.8254963755607605
dense,ORPHA:75373,Progressive bifocal chorioretinal atrophy,True,False,True,,ABSTAIN,False,0.827373206615448,0.827373206615448
dense,OMIM:240200,"Hypoadrenocorticism, familial",True,False,True,,ABSTAIN,False,0.827380359172821,0.827380359172821
dense,OMIM:256840,"Neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive",True,False,True,,ABSTAIN,True,0.7957836985588074,0.7957836985588074
